rom_name,display_name,year,manufacturer,players,rotation,status,is_clone,parent,category,board
vtennisg,Virtua Tennis / Power Smash (GDS-0011),2001,Sega,0,0,unknown,false,,,sega_naomi
waidrive,WaiWai Drive,2005,MOSS / Sammy,0,270,unknown,false,,,sammy_atomiswave
wccf116,World Club Champion Football Serie A 2001-2002 Ver.2 (Japan) (CDP-10001C),2003,Hitmaker / Sega,0,0,unknown,false,,,sega_naomi
wccf1dup,World Club Champion Football Serie A 2001-2002 DIMM FIRM Ver.3.03 (CDP-10003),2002,Hitmaker / Sega,0,0,unknown,false,,,sega_naomi
wccf212e,World Club Champion Football Serie A 2002-2003 Ver.2.12 (Italy) (CDV-10002),2004,Hitmaker / Sega,0,0,unknown,false,,,sega_naomi
wccf234j,World Club Champion Football Serie A 2002-2003 Ver.2.34 (Japan) (CDV-10008),2004,Hitmaker / Sega,0,0,unknown,false,,,sega_naomi
wccf310j,World Club Champion Football European Clubs 2004-2005 (Asia) (CDV-10013),2005,Sega,0,0,unknown,false,,,sega_naomi
wccf322e,World Club Champion Football European Clubs 2004-2005 Ver.3.22 (Export) (CDV-10015P),2005,Sega,0,0,unknown,false,,,sega_naomi
wccf331e,World Club Champion Football European Clubs 2004-2005 Ver.1.1 (Export) (CDV-10015),2005,Sega,0,0,unknown,true,wccf322e,,sega_naomi
wccf331j,World Club Champion Football European Clubs 2004-2005 Ver.1.1 (Japan) (CDV-10020),2005,Sega,0,0,unknown,true,wccf341j,,sega_naomi
wccf341j,World Club Champion Football European Clubs 2004-2005 Ver.1.2 (Japan) (CDV-10021),2006,Sega,0,0,unknown,false,,,sega_naomi
wccf400j,World Club Champion Football European Clubs 2005-2006 (Japan) (CDV-10025),2006,Sega,0,0,unknown,false,,,sega_naomi
wccf420e,World Club Champion Football European Clubs 2005-2006 (Export) (CDV-10027),2006,Sega,0,0,unknown,false,,,sega_naomi
westdrmg,Western Dream Gold,2009,Sega,0,0,unknown,false,,,sega_system_sp
wldkicks,"World Kicks (World, WK2 Ver.A)",2000,Namco,0,0,unknown,false,,,sega_naomi
wldkicksj,"World Kicks (Japan, WK1 Ver.A)",2000,Namco,0,0,unknown,true,wldkicks,,sega_naomi
wldkickspj,"World Kicks PCB (Japan, WKC1 Ver.A)",2000,Namco,0,0,unknown,true,wldkicks,,sega_naomi
wldkickspw,"World Kicks PCB (World, WKC2 Ver.A)",2000,Namco,0,0,unknown,true,wldkicks,,sega_naomi
wldkicksu,"World Kicks (US, WK3 Ver.A)",2000,Namco,0,0,unknown,true,wldkicks,,sega_naomi
wldrider,Wild Riders,2001,Wow Entertainment / Sega,0,0,unknown,false,,,sega_naomi_2
wrungpo,"Wave Runner GP (USA, Rev A)",2001,CRI / Sega,0,0,unknown,true,wrungp,,sega_naomi
wsbbgd,World Series Baseball / Super Major League (GDS-0010),2001,Sega,0,0,unknown,false,,,sega_naomi
wwfroyal,WWF Royal Rumble,2000,Sega,0,0,unknown,false,,,sega_naomi
xtrmhnt2,Extreme Hunting 2,2006,Sega,0,0,unknown,false,,,sammy_atomiswave
xtrmhunt,Extreme Hunting,2004,Sammy,0,0,unknown,false,,,sammy_atomiswave
zerogu2,Zero Gunner 2,2001,Psikyo,0,0,unknown,false,,,sega_naomi
zombrvn,Zombie Revenge (Rev A),1999,Sega,0,0,unknown,false,,,sega_naomi
zombrvne,Zombie Revenge (Export),1999,Sega,0,0,unknown,true,zombrvn,,sega_naomi
zombrvno,Zombie Revenge,1999,Sega,0,0,unknown,true,zombrvn,,sega_naomi
zunou,"Touch De Zunou (Japan, Rev A)",2006,Sega,0,0,unknown,false,,,sega_naomi
